旅行社,行程號,天數,航班,起飛日期,起飛時間,抵達日期,抵達時間,RoutId,出發城市,抵達城市,出發地,目的地
澄心誠意澄果旅遊OrangeTour,SS1090308TKA,1,TK025,2019/03/08,21:55,2019/03/09,05:10,TPE/IST,台北市,伊斯坦堡,桃園國際機場,伊斯坦堡機場,土耳其航空
澄心誠意澄果旅遊OrangeTour,SS1090308TKA,2,TK1857,2019/03/09,07:15,2019/03/09,10:40,IST/MAD,伊斯坦堡,馬德里,伊斯坦堡機場,馬德里機場,土耳其航空
澄心誠意澄果旅遊OrangeTour,SS1090308TKA,9,TK1856,2019/03/16,18:55,2019/03/16,23:20,BCN/IST,巴賽隆那,伊斯坦堡,巴塞隆納機場,伊斯坦堡機場,土耳其航空
澄心誠意澄果旅遊OrangeTour,SS1090308TKA,10,TK24,2019/03/17,01:45,2019/03/17,17:55,IST/TPE,伊斯坦堡,台北市,伊斯坦堡機場,桃園國際機場,土耳其航空
澄心誠意澄果旅遊OrangeTour,SS01190308B,1,TK025,2019/03/08,22:15,2019/03/09,06:00,TPE/IST,台北市,伊斯坦堡,桃園國際機場,伊斯坦堡機場,土耳其航空
澄心誠意澄果旅遊OrangeTour,SS01190308B,2,TK1857,2019/03/09,08:20,2019/03/09,10:50,IST/MAD,伊斯坦堡,馬德里,伊斯坦堡機場,馬德里機場,土耳其航空
澄心誠意澄果旅遊OrangeTour,SS01190308B,9,TK1856,2019/03/16,18:20,2019/03/16,23:50,BCN/IST,巴賽隆那,伊斯坦堡,巴塞隆納機場,伊斯坦堡機場,土耳其航空
澄心誠意澄果旅遊OrangeTour,SS01190308B,10,TK024,2019/03/17,02:10,2019/03/17,17:50,IST/TPE,伊斯坦堡,台北市,伊斯坦堡機場,桃園國際機場,土耳其航空
澄心誠意澄果旅遊OrangeTour,0CNX190309FD,1,FD243,2019/03/09,02:30,2019/03/09,06:10,TPE/CNX,台北市,清邁,桃園國際機場,清邁機場,亞洲航空
澄心誠意澄果旅遊OrangeTour,0CNX190309FD,5,FD242,2019/03/13,21:15,2019/03/14,00:20,CNX/TPE,清邁,台北市,清邁機場,桃園國際機場,亞洲航空
