旅行社,行程號,旅遊天數,產品名稱,出發日期,價錢,可售位,總團位,星期,備註,報名狀態,是否保證出團,是否促銷,是否額滿,類型,旅程連結,封面圖片連結
澄心誠意澄果旅遊OrangeTour,SS1090308TKA,10,西班牙 七大城 聖家堂 佛朗明哥晚餐秀10日,2019/03/08,63900,0,26,五,,"{'Status': 1, 'Name': '請電洽', 'Url': ''}",False,False,False,團,/EW/GO/GroupDetail.asp?prodCd=SS1090308TKA,/eWeb_asiantour/IMGDB/000055/000057/00003919.JPG
澄心誠意澄果旅遊OrangeTour,SS01190308B,10,超值西葡雙國 巴塞隆納 全覽10天(一內陸段飛機),2019/03/08,66900,0,26,五,額滿,"{'Status': 1, 'Name': '請電洽', 'Url': ''}",False,False,False,團,/EW/GO/GroupDetail.asp?prodCd=SS01190308B,/eweb_asiantour/images/default_demo.jpg
澄心誠意澄果旅遊OrangeTour,0CNX190309FD,5,【亞洲航空】清邁自由行5天-精選酒店(含稅),2019/03/09,13500,20,20,六,,"{'Status': 3, 'Name': '報名', 'Url': '/EW/GO/GroupOrder.asp?prodCd=0CNX190309FD'}",False,False,False,團,/EW/GO/GroupDetail.asp?prodCd=0CNX190309FD,/eWeb_asiantour/IMGDB/000320/00007320.JPG
澄心誠意澄果旅遊OrangeTour,EE1090309QRA,10,銀色 克斯波 雙5星 雙堡 雙國家公園 OUTLET 10天,2019/03/09,59900,31,32,六,,"{'Status': 0, 'Name': '截止', 'Url': ''}",False,False,False,團,/EW/GO/GroupDetail.asp?prodCd=EE1090309QRA,/eWeb_asiantour/IMGDB/000034/000312/00005679.JPG
澄心誠意澄果旅遊OrangeTour,EE1190310HUA,11,春夏超值奧捷斯匈東歐四國全覽11天,2019/03/10,54900,0,24,日,已成團,"{'Status': 1, 'Name': '請電洽', 'Url': ''}",False,False,True,團,/EW/GO/GroupDetail.asp?prodCd=EE1190310HUA,/eWeb_asiantour/IMGDB/000347/000348/000353/00006116.JPG
澄心誠意澄果旅遊OrangeTour,0KIX190311MM,5,大阪自由行5日-樂桃航空,2019/03/11,15000,10,10,一,,"{'Status': 3, 'Name': '報名', 'Url': '/eweb/GO/V_GO_Detail.asp?MGRUP_CD=OSA-7&GRUP_CD=0KIX190311MM&SUB_CD=GO'}",False,False,False,團,/EW/GO/GroupDetail.asp?prodCd=0KIX190311MM,/eWeb_asiantour/IMGDB/000002/000004/00004312.JPG
澄心誠意澄果旅遊OrangeTour,AS0790312ZZA,7,雙城夢幻極光 5+1晚 3次遇見極光,2019/03/12,29900,4,4,二,,"{'Status': 3, 'Name': '報名', 'Url': '/EW/GO/GroupOrder.asp?prodCd=AS0790312ZZA'}",False,False,False,團,/EW/GO/GroupDetail.asp?prodCd=AS0790312ZZA,/eweb_asiantour/images/default_demo.jpg
澄心誠意澄果旅遊OrangeTour,ES0890312CAA,8,一起牽手遊 西班牙 昆卡 聖家堂 OUTLET 8天,2019/03/12,43900,0,27,二,,"{'Status': 0, 'Name': '截止', 'Url': ''}",False,False,True,團,/EW/GO/GroupDetail.asp?prodCd=ES0890312CAA,/eweb_asiantour/images/default_demo.jpg
澄心誠意澄果旅遊OrangeTour,EW1190312HUA,11,Ciao! 義起玩、五漁村、威尼斯、OUELET11天,2019/03/12,54900,0,35,二,額滿,"{'Status': 1, 'Name': '請電洽', 'Url': ''}",False,False,True,團,/EW/GO/GroupDetail.asp?prodCd=EW1190312HUA,/eweb_asiantour/images/default_demo.jpg
澄心誠意澄果旅遊OrangeTour,EW1090312CIA,10,【直飛】冬季Ciao起來! 義大利10天,2019/03/12,72900,0,26,二,,"{'Status': 0, 'Name': '截止', 'Url': ''}",False,False,False,團,/EW/GO/GroupDetail.asp?prodCd=EW1090312CIA,/eweb_asiantour/images/default_demo.jpg
澄心誠意澄果旅遊OrangeTour,0CNX190314FD,4,【亞洲航空】清邁自由行4天-精選酒店(含稅),2019/03/14,12500,20,20,四,,"{'Status': 3, 'Name': '報名', 'Url': '/EW/GO/GroupOrder.asp?prodCd=0CNX190314FD'}",False,False,False,團,/EW/GO/GroupDetail.asp?prodCd=0CNX190314FD,/eWeb_asiantour/IMGDB/000320/00007320.JPG
澄心誠意澄果旅遊OrangeTour,AS0690314ZZA,6,初戀幸福極光 4+1晚 4次遇見極光,2019/03/14,26900,4,4,四,,"{'Status': 3, 'Name': '報名', 'Url': '/EW/GO/GroupOrder.asp?prodCd=AS0690314ZZA'}",False,False,False,團,/EW/GO/GroupDetail.asp?prodCd=AS0690314ZZA,/eweb_asiantour/images/default_demo.jpg
澄心誠意澄果旅遊OrangeTour,BWNBI90314GA,5,汶萊五星帝國酒店．長鼻猴生態５天,2019/03/14,28300,15,16,四,,"{'Status': 3, 'Name': '報名', 'Url': '/EW/GO/GroupOrder.asp?prodCd=BWNBI90314GA&sacctNo=23420481'}",False,False,False,團,/EW/GO/GroupDetail.asp?prodCd=BWNBI90314GA&sacctNo=23420481,/eweb_asiantour/images/default_demo.jpg
澄心誠意澄果旅遊OrangeTour,BWNBI90314GB,5,汶萊五星帝國酒店．烏魯淡武廊國家公園５天,2019/03/14,32800,8,16,四,,"{'Status': 3, 'Name': '報名', 'Url': '/EW/GO/GroupOrder.asp?prodCd=BWNBI90314GB&sacctNo=23420481'}",False,False,False,團,/EW/GO/GroupDetail.asp?prodCd=BWNBI90314GB&sacctNo=23420481,/eweb_asiantour/images/default_demo.jpg
澄心誠意澄果旅遊OrangeTour,OSACX90314PA,5,【前16名收訂優惠1000】三方五湖雪唯美‧美山合掌村.天橋立.越前冬旅五日,2019/03/14,35900,27,28,四,,"{'Status': 3, 'Name': '報名', 'Url': '/EW/GO/GroupOrder.asp?prodCd=OSACX90314PA&sacctNo=23420481'}",False,False,False,團,/EW/GO/GroupDetail.asp?prodCd=OSACX90314PA&sacctNo=23420481,/eweb_asiantour/images/default_demo.jpg
